Stadt;Name;Fachgebiet;Adresse;Website;Signal (NICHT Google-bestaetigt);Quelle des Signals;Google Note;Google Anzahl;Filter bestanden (ja/nein);Aussehen;Mobile;CTA above the fold;Social Proof;Angebotsklarheit;Funktion;Summe;Status;Naechster Schritt
Wels;DDr. Florian Six - Die Zahnspezialisten;Zahnarzt / Implantologie / Aesthetik;Ringstrasse 11, 4600 Wels;zahnarzt-wels.at;4,8 / 346 Bewertungen;Yably Aggregator;;;;;;;;;;;;
Wels;Praxis DDr. Eichinger - Dr. Budenhofer;Kieferchirurgie / Implantologie;Salzburger Strasse 65, 4600 Wels;eichinger-budenhofer.at;75 Bewertungen;Portal nicht identifiziert;;;;;;;;;;;;
Wels;Vitalbrunnen Medical Beauty SPA;Medical Beauty;Maria-Theresia-Strasse 9, 4600 Wels;;ca. 135 Bewertungen ueber 3 Portale;Aggregiert, keine Aufschluesselung;;;;;;;;;;;;
Wels;Dr. Franz Atzlinger;Zahnarzt;Thalheim bei Wels (Perimeter pruefen);zahnarzt-atzlinger-wels.at;84 Bewertungen;DocFinder;;;;;;;;;;;;
Wels;Nordination Wels;Wahlarzt-Zentrum;Wels;;kein Wert gefunden;;;;;;;;;;;;;
Wels;Dr. Sabine Mader;Wahlaerztin / Akupunktur;Oberfeldstrasse 105, 4600 Wels;drmader-sabine.info;kein Wert gefunden;;;;;;;;;;;;;
Wels;Zahnarztpraxis Dr. Alan Meniga;Zahnarzt;Grieskirchner Strasse 15, 4600 Wels;meniga.at;5,0 / 1 Bewertung;Herold - unzureichend;;;;;;;;;;;;
Wels;Physiotherapie Zehetmayer;Physiotherapie;Schloss Lichtenegg, 4600 Wels;;kein Wert gefunden;;;;;;;;;;;;;
Wels;PBeauty Wels;Kosmetikstudio / Laser;Eferdinger Strasse 4, 4600 Wels-Neustadt;;positive Reviews ohne Zahl;;;;;;;;;;;;;
Wels;Esma Beauty Studio;Kosmetikstudio;Wels;;kein Wert gefunden;;;;;;;;;;;;;
Wels;Dr. Johannes Mitterhuber;Wahlarzt;Traunufer-Arkade 1, 4600 Wels;;4,70 / 24 Bewertungen - unter 40;Yably;;;;;;;;;;;;
Wels;Dr. Johanna Hollenstein;Zahnaerztin;Wels;;4,8 / 6 Bewertungen - unter 40;Suchergebnis;;;;;;;;;;;;
Linz;Dr. Maximilian Reek - Zahnmedizin am Winterhafen;Zahnarzt / Implantologie;Am Winterhafen 13, 4020 Linz;wahlzahnarzt-linz.at;4,80 / 147 Bewertungen;Einzelquelle, nicht gekreuzt;;;;;;;;;;;;
Linz;place to be. physio and more;Physiotherapie;Ziegeleistrasse 78b, 4020 Linz;placetobe-physioandmore.at;5,0 / 143 Bewertungen;Einzelquelle, nicht gekreuzt;;;;;;;;;;;;
Linz;Dr. Maria Reek;Kieferorthopaedie;Am Winterhafen 13, 4020 Linz;zahnregulierung-linz.at;4,8 / 78 Bewertungen;Einzelquelle, nicht gekreuzt;;;;;;;;;;;;
Linz;Dr. Vincent Gruber;Zahnarzt;Dieselstrasse 24, 4030 Linz;;132 Bewertungen ueber 3 Portale;Aggregiert;;;;;;;;;;;;
Linz;Hautzentrum Dr. Reinhard Hoefner;Dermatologie / Aesthetik;Taubenmarkt 1, 4020 Linz;;65 Bewertungen;DocFinder;;;;;;;;;;;;
Linz;Dr. Martin Barsch;Haut / Aesthetik / Laser / Lipoedem;Starhembergstrasse 12, 4020 Linz;;51 Bewertungen;DocFinder;;;;;;;;;;;;
Linz;Dr. Ingo Moosbauer;Zahnarzt;Gesellenhausstrasse 19, 4020 Linz;dr-moosbauer.at;39 Bewertungen;DocFinder - Grenzfall;;;;;;;;;;;;
Linz;Dr. Ulrich Guserl;Zahnarzt;Hauptstrasse 33/2, 4040 Linz;;hohes Volumen, Google unklar;;;;;;;;;;;;;
Linz;Dr. Viktor M. Ribisch;Zahnarzt;Derfflingerstrasse 2a, 4020 Linz;zahnarzt-ribisch.at;WIDERSPRUCH 3,9/168 vs 4,9;Zwei Suchen, gegensaetzlich;;;;;;;;;;;;
Linz;Physiozentrum Linz;Physiotherapie;Linz;physio-linz.at;kein Wert gefunden;;;;;;;;;;;;;
Linz;Physiotherapie Mario Eres;Physiotherapie;Coulinstrasse 21, 4020 Linz;physio-eres.at;kein Wert gefunden;;;;;;;;;;;;;
Linz;Dr. Victoria Lazarescu;Aesthetische Medizin;Unionstrasse 3, 4020 Linz;;kein Wert gefunden;;;;;;;;;;;;;
Linz;Dr. Johannes Neuhofer;Dermatologie;Wiener Strasse 57, 4020 Linz;;31 Bewertungen - unter 40;DocFinder;;;;;;;;;;;;
Linz;DDr. Klaus Wild;Zahnarzt;Franckstrasse 28, 4020 Linz;;13 Bewertungen - unter 40;DocFinder;;;;;;;;;;;;
Linz;MedAesthetik;Aesthetik;Koppelweg 2, 4060 Leonding (ausserhalb Linz);;7 Bewertungen auf Facebook;unzuverlaessig;;;;;;;;;;;;
